Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Akerman,Rickard,VFL,Terzino Destro,32,147,79,68,78,1,0.5374,29,23,4,2,4,6,0,0,17/18,B
Becvar,Roman,ELB,Centrale,37,158,79,79,79,0,0.5,70,31,7,4,9,15,0,0,17/18,B
Schomig,Dominik,WÖW,Ala Sinistra,36,123,79,44,66,13,0.6423000000000001,10,16,9,0,1,4,0,0,17/18,B
Kotrc,Milan,BHC,Ala Sinistra,38,129,78,51,78,0,0.6047,6,9,18,1,4,2,0,0,17/18,B
Barkow,Moritz,HGS,Pivot,25,92,77,15,77,0,0.8370000000000001,5,15,0,1,4,1,0,0,17/18,B
Fraatz,Yannick,NOL,Ala Destra,36,127,77,50,77,0,0.6063000000000001,5,9,11,3,8,5,0,0,17/18,B
Aust,Dennis,VIK,Ala Destra,37,121,77,44,75,2,0.6364,11,12,5,1,16,10,0,0,17/18,B
Lungela,Maurice,HIL,Terzino Destro,37,152,76,76,76,0,0.5,14,25,7,0,6,6,0,0,17/18,B
Barthe,Paco,SGB,Centrale,37,110,75,35,75,0,0.6818000000000001,71,17,26,30,18,25,0,0,17/18,B
Pankofer,Daniel,VIK,Centrale,27,147,75,72,57,18,0.5102,21,34,2,1,4,4,0,0,17/18,B
Muller,Justin,TUE,Centrale,35,141,75,66,74,1,0.5318999999999999,68,37,5,2,2,6,0,0,17/18,B
Sauer,Julian,WÖW,Ala Destra,36,114,75,39,75,0,0.6579,7,6,3,0,9,5,0,0,17/18,B
Weis,Niklas,VIK,Terzino Destro,36,151,75,76,75,0,0.4967,47,51,2,0,3,9,0,0,17/18,B
Genda,Pawel,VFL,Terzino Sinistro,18,137,75,62,75,0,0.5474,18,15,4,4,5,4,0,0,17/18,B
Konig,Felix,SGB,Centrale,35,134,74,60,74,0,0.5522,27,19,1,0,0,1,0,0,17/18,B
Lauenroth,Julian,VFL,Ala Destra,31,110,73,37,56,17,0.6636,10,10,5,1,4,4,0,0,17/18,B
Krieg,Julian,ASV,Terzino Destro,34,139,73,66,71,2,0.5252,28,27,3,5,3,7,1,0,17/18,B
Schlaich,Fabian,KON,Ala Sinistra,25,118,72,46,67,5,0.6102000000000001,13,14,6,0,1,1,0,0,17/18,B
Bettin,Maximilian-Leon,BHC,Terzino Sinistro,34,130,72,58,53,19,0.5538000000000001,14,14,2,4,2,2,0,0,17/18,B
Renninger,Julian,HAG,Pivot,27,96,72,24,70,2,0.75,22,17,14,15,13,16,0,0,17/18,B
Remke,Gregor,AUE,Terzino Destro,27,125,70,55,68,2,0.56,29,40,4,1,5,15,0,0,17/18,B
Scheithauer,Max,DES,Terzino Sinistro,22,128,70,58,70,0,0.5468999999999999,38,23,1,0,1,3,0,0,17/18,B
Quade,Henning,ELB,Pivot,30,92,69,23,69,0,0.75,8,20,3,5,11,14,1,0,17/18,B
Glabisch,Thees,VFL,Ala Sinistra,24,97,69,28,51,18,0.7112999999999999,5,6,5,1,1,5,0,0,17/18,B
Zahradnicek,Jan,DES,Ala Destra,33,101,69,32,69,0,0.6831999999999999,4,11,1,0,0,4,0,0,17/18,B
Schonningsen,Simen,HBW,Terzino Destro,28,116,69,47,69,0,0.5948,29,18,0,2,3,2,0,0,17/18,B
Riehn,Till,COB,Centrale,32,112,68,44,47,21,0.6071,42,25,0,4,6,4,0,0,17/18,B
ten Velde,Rutger,WHV,Ala Sinistra,32,108,68,40,66,2,0.6296,4,12,2,0,6,5,0,0,17/18,B
