Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Bornhorn,Bengt,AUE,P,33,67,20,67,0,0.7701,6,12,5,5,10,15,0,0,17/18,B
Schliedermann,Marcel,EIS,CB,34,65,49,65,0,0.5702,28,38,4,8,11,16,1,0,17/18,B
Honicke,Jonas,DES,CB,35,65,56,49,16,0.5372,37,30,3,3,12,10,0,0,17/18,B
Babak,Tomas,BHC,CB,32,65,50,65,0,0.5652,58,18,3,3,1,2,0,0,17/18,B
Magi,Janar,AUE,LB,29,64,50,64,0,0.5614,11,12,0,0,0,0,0,0,17/18,B
Nothdurft,Tim,HBW,LW,33,64,30,63,1,0.6809000000000001,3,3,3,0,1,5,0,0,17/18,B
Schneider,Sebastian,HAG,LB,31,62,84,62,0,0.42469999999999997,16,17,0,1,3,2,0,0,17/18,B
Murawski,Martin,HGS,LW,34,62,33,62,0,0.6526000000000001,5,10,7,1,10,10,0,0,17/18,B
Pfeiffer,Florian,DES,LB,33,62,38,62,0,0.62,28,28,4,6,18,22,2,0,17/18,B
Boese,Rene,ELB,RW,33,62,31,51,11,0.6667000000000001,12,9,6,2,2,4,0,0,17/18,B
Claus,Dominik,SGB,RB,37,61,40,61,0,0.604,44,27,6,3,5,8,0,0,17/18,B
Zechel,Tim,TUE,P,32,61,33,61,0,0.6489,11,23,7,20,21,28,3,0,17/18,B
Gempp,Patrick,WÖW,P,33,60,21,60,0,0.7406999999999999,11,8,6,2,15,22,0,0,17/18,B
Prohl,Tilman,HAG,P,33,60,27,60,0,0.6897,22,22,4,22,13,34,3,0,17/18,B
Spohn,Valentin,HBW,LB,27,59,61,59,0,0.4917,12,6,2,5,7,4,0,0,17/18,B
Schaffer,Jan,WÖW,P,20,59,24,59,0,0.7108,9,13,4,9,12,18,3,0,17/18,B
Drager,Yannick,TVE,P,38,58,29,57,1,0.6667000000000001,15,20,13,23,21,38,6,0,17/18,B
Coric,Teo,VIK,P,37,58,19,58,0,0.7532,4,26,1,7,16,23,3,0,17/18,B
Schmidt,Valentin,SGB,CB,34,57,52,42,15,0.5229,58,16,3,1,11,5,0,0,17/18,B
Maas,Sebastian,WHV,LW,32,57,35,56,1,0.6196,7,5,2,0,6,9,0,0,17/18,B
Artmann,Jan,BHC,LW,30,55,24,55,0,0.6962,4,9,1,0,3,2,0,0,17/18,B
Luther,Daniel,EIS,LB,26,55,50,37,18,0.5238,46,26,6,10,9,8,0,0,17/18,B
Heil,Julius,KON,CB,27,55,38,55,0,0.5914,24,23,4,1,3,8,0,0,17/18,B
Hansen,Markus,VFL,CB,20,54,56,54,0,0.49090000000000006,17,11,6,10,5,2,0,0,17/18,B
Podpolinski,Toni,VFL,RB,25,54,46,54,0,0.54,35,18,8,2,7,5,1,0,17/18,B
Claasen,Tim,VFL,CB,33,54,40,44,10,0.5745,10,14,1,0,1,2,0,0,17/18,B
Doll,Jan,SGB,RW,33,54,32,54,0,0.6279,9,13,10,0,1,6,0,0,17/18,B
Weber,Sebastian,COB,P,35,53,25,53,0,0.6795,16,13,0,6,9,9,0,0,17/18,B
Kraus,Sebastian,WÖW,LW,36,53,24,46,7,0.6883,8,13,5,0,4,9,2,0,17/18,B
Wesseling,Sven,TVE,LB,36,53,40,37,16,0.5699000000000001,28,20,6,4,9,16,0,0,17/18,B
Petrovsky,Leos,BHC,P,38,53,24,53,0,0.6883,10,22,4,27,10,16,1,0,17/18,B
Handschke,Felix,VIK,LB,27,52,28,51,1,0.65,15,28,7,2,4,6,0,0,17/18,B
Pohle,Georg,TVE,LB,22,52,53,48,4,0.49520000000000003,33,17,1,11,10,23,2,0,17/18,B
Schulz,Michael,HGS,P,35,52,23,52,0,0.6933,11,14,7,31,13,19,1,0,17/18,B
Bohm,Lukas,WÖW,RB,36,52,33,52,0,0.6118,34,16,4,6,7,13,0,0,17/18,B
Wagner,Tobias,HBW,P,36,52,16,52,0,0.7646999999999999,6,20,2,18,13,13,0,0,17/18,B
Criciotoiu,Bogdan Andre,BHC,RB,30,51,42,51,0,0.5484,7,7,0,0,2,3,0,0,17/18,B
Zimmermann,Bruno,VFL,CB,31,51,52,51,0,0.4951,11,20,0,1,2,9,0,0,17/18,B
Kohler,Steffen,VFL,P,36,49,18,49,0,0.7313,7,21,8,3,8,7,0,0,17/18,B
Meoki-Etxebeste,Ibai,EIS,CB,26,49,36,49,0,0.5765,35,28,5,0,5,12,0,0,17/18,B
Kruger,Felix,KON,RB,35,48,69,48,0,0.4103,15,14,3,5,12,8,0,0,17/18,B
Petreikis,Benas,AUE,CB,25,48,37,47,1,0.5647,48,15,1,0,0,1,0,0,17/18,B
Foth,Christoph,HBW,P,35,47,20,46,1,0.7015,9,18,8,24,26,33,1,0,17/18,B
Wucherpfennig,Lukas,COB,RW,24,47,14,32,15,0.7705,3,2,1,0,1,2,0,0,17/18,B
Terwolbeck,Alexander,NOL,CB,20,47,38,47,0,0.5529,41,30,1,1,0,1,0,0,17/18,B
de Boer,Luca,NOL,P,36,47,31,47,0,0.6026,13,20,11,36,13,17,0,0,17/18,B
Schwarz,Maximilian,KON,RB,25,47,32,47,0,0.5949,21,26,3,0,2,6,0,0,17/18,B
Schwabe,Jakob,ASV,P,36,46,18,46,0,0.7188,11,9,5,25,15,9,0,0,17/18,B
Kalafut,Lukas,WHV,LB,27,46,72,46,0,0.3898,31,29,3,5,11,11,0,0,17/18,B
Kasler,Felix,TUE,RW,31,46,31,46,0,0.5974,2,11,3,0,2,1,0,0,17/18,B
Muller,Arthur,HGS,LB,30,45,73,45,0,0.3814,31,29,0,2,5,6,1,0,17/18,B
Johnen,Bennet,VIK,P,25,44,16,44,0,0.7333,2,22,1,3,12,10,0,0,17/18,B
Gipperich,Brian,VIK,RB,20,43,44,43,0,0.4943,10,18,3,1,3,3,0,0,17/18,B
Nippes,Kristian,BHC,RB,36,42,31,42,0,0.5753,38,21,7,12,8,15,0,0,17/18,B
Kelm,Dominic,COB,P,35,42,12,42,0,0.7778,8,13,4,3,11,4,0,0,17/18,B
Gudat,Lars,ASV,RW,29,41,20,41,0,0.6720999999999999,9,4,5,0,1,6,0,0,17/18,B
Huesmann,Fabian,ASV,LW,23,41,25,29,12,0.6212,8,3,1,6,4,12,0,0,17/18,B
Bornemann,Andreas,VIK,RB,29,41,70,41,0,0.36939999999999995,11,13,1,3,7,6,0,0,17/18,B
Bruhn,Jasper,VFL,RB,24,40,26,40,0,0.6061,2,10,2,3,1,3,0,0,17/18,B
Waldhof,Dominik,HAG,LB,35,40,32,40,0,0.5556,21,14,9,41,22,28,1,0,17/18,B
Reissky,Christoph,TUE,RB,14,39,31,39,0,0.5571,13,11,1,1,8,4,0,0,17/18,B
Buschmann,Arseniy,ELB,CB,33,39,27,39,0,0.5909,25,31,6,7,7,11,0,0,17/18,B
Asmuth,Jan,SGB,LW,32,39,23,39,0,0.629,9,5,9,1,5,6,0,0,17/18,B
Fuchs,Markus,ASV,LB,26,38,24,38,0,0.6129,20,8,6,32,17,17,1,0,17/18,B
Miljak,Duje,EIS,RB,34,38,40,38,0,0.48719999999999997,34,11,8,29,22,26,4,0,17/18,B
Bauer,Max,WÖW,RW,18,38,19,38,0,0.6667000000000001,3,8,3,0,7,13,1,0,17/18,B
Fauteck,Jannis,HAG,CB,27,37,38,37,0,0.49329999999999996,36,11,3,4,4,13,0,0,17/18,B
Kintrup,Michael,TUE,RB,19,37,44,37,0,0.4568,11,11,2,3,1,4,0,0,17/18,B
Gress,Sebastian,ELB,CB,22,37,27,37,0,0.5781000000000001,53,19,4,1,0,2,0,0,17/18,B
Kozul,Matej,WHV,P,36,37,29,37,0,0.5606,19,19,4,6,12,13,0,0,17/18,B
Flodl,Norman,ELB,P,22,36,18,36,0,0.6667000000000001,4,20,5,8,10,13,2,0,17/18,B
Erifopoulos,Panagiotis,SGB,P,21,36,11,36,0,0.7659999999999999,6,9,8,0,2,12,0,0,17/18,B
Maier-Hasselmann,Fabian,KON,RW,29,36,16,35,1,0.6923,4,4,2,1,1,2,0,0,17/18,B
Pulay,Gabor,ELB,RB,15,36,30,35,1,0.5455,15,18,1,0,1,0,0,0,17/18,B
Witzke,Luca,TUE,CB,21,36,26,36,0,0.5806,29,13,1,5,5,0,0,0,17/18,B
Hruscak,Patrik,ELB,RB,20,35,37,35,0,0.4861,8,12,0,0,5,4,0,0,17/18,B
Terhaer,Yannick,TVE,RW,28,34,16,34,0,0.68,0,8,0,0,5,5,0,0,17/18,B
Neuteboom,Jort,AUE,LB,17,33,25,14,19,0.569,5,12,1,7,3,6,0,0,17/18,B
Drechsler,Rene,WHV,RB,18,32,33,32,0,0.49229999999999996,16,19,0,0,0,2,0,0,17/18,B
Backs,Fin,HIL,LW,25,32,20,32,0,0.6154,0,4,2,0,0,1,0,0,17/18,B
Ranke,Fynn,VFL,P,26,31,15,31,0,0.6739,2,8,4,6,6,20,1,0,17/18,B
Schieb,Lukas,HIL,LB,25,31,33,31,0,0.4844,8,18,8,8,2,3,0,0,17/18,B
Hausmann,Jannik,HBW,RW,31,30,23,30,0,0.5660000000000001,16,12,1,3,4,6,0,0,17/18,B
Ridder,Carsten,TUE,LB,21,30,51,30,0,0.3704,40,17,2,11,12,12,0,0,17/18,B
Roosna,Karl,TUE,RB,23,30,35,30,0,0.46149999999999997,7,16,1,1,0,1,0,0,17/18,B
Zele,Daniel,ELB,LB,28,30,31,30,0,0.4918,13,8,4,9,5,8,0,0,17/18,B
Bahn,Thomas,VIK,CB,33,29,29,29,0,0.5,4,5,1,1,11,19,0,0,17/18,B
Saueressig,Lukas,HBW,CB,17,29,21,29,0,0.58,22,7,1,1,3,5,0,0,17/18,B
Runarsson,Sigtryggur Dadi,HBW,CB,26,28,27,26,2,0.5091,8,13,2,0,1,0,0,0,17/18,B
Ignatow,Dimitri,HIL,RW,26,28,19,24,4,0.5957,2,8,0,0,1,8,0,0,17/18,B
Nelson,Jakob,HIL,P,27,28,27,28,0,0.5091,20,15,1,2,8,3,0,0,17/18,B
Kretschmer,Nils Holger,ELB,LB,20,27,32,27,0,0.4576,18,13,10,12,10,18,0,0,17/18,B
Flohr,Matthias,HBW,LW,34,26,7,26,0,0.7879,14,12,3,3,11,18,1,0,17/18,B
Polydore,Yann,HGS,RB,32,26,35,26,0,0.42619999999999997,11,16,5,7,12,17,0,0,17/18,B
Gugisch,Nils,ELB,RW,11,26,11,26,0,0.7027,0,5,1,0,2,5,1,0,17/18,B
Hoffmann,Robin,ELB,RW,24,26,19,26,0,0.5778,1,5,3,0,10,11,0,0,17/18,B
Thomas,Heider,VIK,LB,35,26,17,26,0,0.6047,21,11,7,38,18,29,2,0,17/18,B
Kohler,Janik,WHV,CB,38,25,31,25,0,0.4464,33,22,8,15,18,19,2,0,17/18,B
Kellner,Benedikt,COB,CB,23,25,24,25,0,0.5102,13,18,3,2,0,1,0,0,17/18,B
Leenders,Toon,NOL,P,38,24,16,24,0,0.6,7,11,7,35,23,44,6,0,17/18,B
Noll,Pascal,HGS,LW,22,24,17,23,1,0.5854,5,3,7,1,6,9,1,0,17/18,B
Murkoster,Justin,EIS,P,12,24,6,24,0,0.8,4,3,0,7,5,1,0,0,17/18,B
Siegler,Lukas,WÖW,LB,13,24,16,24,0,0.6,8,4,5,0,5,4,0,0,17/18,B
Saborowski,Paul,HAG,RW,25,24,19,24,0,0.5581,5,4,4,0,0,1,0,0,17/18,B
Koke,Alexander,AUE,CB,17,23,17,22,1,0.575,13,11,3,0,0,0,0,0,17/18,B
Stegefelt,Markus,HBW,LB,15,23,22,23,0,0.5111,10,9,0,2,0,3,0,0,17/18,B
Knauer,Jakob,COB,RB,17,23,18,23,0,0.561,10,7,1,1,2,4,0,0,17/18,B
Popa,Marcel,EIS,LB,22,22,24,20,2,0.4783,13,11,0,1,1,5,0,0,17/18,B
Papadopoulos,Adam,HIL,P,20,22,10,22,0,0.6875,3,7,2,10,14,12,1,0,17/18,B
Simon,Andreas,HIL,LW,19,21,17,21,0,0.5526,13,19,5,1,6,8,0,0,17/18,B
Hanner,Tom,DES,RW,31,21,37,21,0,0.36210000000000003,18,15,0,0,2,9,0,0,17/18,B
Stryc,Jakub,DES,P,30,21,15,21,0,0.5832999999999999,4,11,3,2,5,4,0,0,17/18,B
